1,66,38,1100,1740,2884,3396,5605,132,323,243,436,507,906,62,103,203,342,119,217,264,383,10,8,9,13,22,40,7,12
0,68,13,833,1569,2861,3119,3437,159,280,196,314,391,545,43,47,87,168,219,280,82,135,8,8,15,27,34,43,8,15
0,41,60,490,932,1118,1700,2689,220,461,308,407,640,691,59,61,120,201,153,165,185,366,5,10,13,18,33,38,5,10
0,59,60,1100,2082,3317,5516,9072,273,608,238,459,854,1055,39,58,77,116,119,153,200,286,10,9,17,21,26,31,11,21
0,72,10,243,246,256,342,345,143,222,234,268,510,969,37,53,90,145,129,182,120,215,6,10,12,22,24,42,5,7
0,80,10,139,176,231,280,524,105,259,335,384,474,761,75,92,157,273,70,123,85,153,8,6,10,17,18,32,4,5
0,64,23,570,1105,2089,3715,6115,184,486,59,115,155,172,59,72,111,207,67,95,76,126,7,6,8,15,25,47,7,13
0,57,30,523,524,716,1405,1925,280,510,129,236,470,744,49,58,100,167,134,239,94,145,7,8,13,18,24,25,11,21
0,33,10,497,847,1016,1891,3471,274,749,201,299,466,680,66,69,92,153,174,241,114,182,6,9,12,22,44,60,9,13
0,43,29,1100,2103,3185,4536,7653,157,322,286,539,707,1166,32,43,71,116,90,109,118,131,6,10,19,38,45,52,4,6
0,56,10,705,1026,1330,1836,2633,188,390,129,145,247,350,72,115,214,270,120,121,165,277,6,8,16,28,37,53,10,19
0,49,28,509,686,983,1002,1990,268,455,87,88,95,120,61,94,152,220,175,309,98,155,6,6,10,14,17,24,5,10
0,87,54,960,1860,3382,3910,6870,220,328,283,458,602,1108,59,92,104,118,157,262,157,192,9,8,13,22,44,48,8,10
0,53,36,271,291,337,350,612,111,293,106,126,188,203,62,64,91,139,59,118,70,72,8,5,10,20,26,52,7,9
0,71,50,398,738,1009,1165,1680,183,588,51,97,102,107,36,57,75,109,108,154,137,233,6,10,12,24,39,48,6,9
0,43,40,254,396,710,713,1150,224,605,102,179,307,384,35,38,63,111,67,69,133,260,7,7,12,13,25,31,6,12
0,86,18,100,120,138,273,398,296,729,50,89,138,141,48,81,82,130,216,347,61,100,10,6,8,15,21,32,4,5
0,82,22,395,462,881,1163,1902,209,594,45,46,71,78,31,36,58,79,156,303,154,193,5,10,17,21,25,35,14,19
0,68,58,1100,1530,2453,2813,4119,207,339,78,151,240,451,40,63,82,157,111,162,167,333,5,6,11,22,23,32,4,7
1,39,23,894,1629,3134,4234,4463,172,349,95,132,165,245,50,55,59,86,179,243,122,172,9,6,9,14,17,27,8,11
1,80,47,1100,1637,1661,2928,3589,223,581,179,226,417,439,23,24,33,43,115,210,141,187,6,8,12,13,25,41,7,11
0,29,59,1100,1789,1899,1917,2614,171,435,30,54,97,164,68,95,183,205,123,180,159,280,6,9,15,27,52,87,11,20
0,84,26,848,1303,2289,3771,6618,300,828,27,45,74,109,71,87,100,115,127,165,126,245,5,8,14,19,36,62,8,15
0,68,60,1100,1627,2424,4632,6005,145,227,35,37,72,108,34,42,62,120,131,197,129,147,9,6,7,8,16,28,9,10
1,56,49,1100,2037,2835,4639,5615,75,207,324,476,616,695,32,64,127,165,127,241,191,238,7,9,13,19,35,63,13,14
1,49,25,470,889,893,1248,1991,215,454,159,176,338,408,52,79,138,263,124,144,117,196,6,8,13,21,40,79,10,19
0,85,17,607,665,1261,1778,2347,282,770,64,84,140,231,58,94,188,210,83,145,143,153,5,7,9,11,22,24,8,10
0,51,47,1100,1532,1603,2493,4281,125,375,67,79,89,147,68,135,161,175,199,229,109,137,6,5,8,12,22,24,5,6
0,35,60,1100,1731,3078,4710,9141,77,148,188,318,542,691,24,30,54,87,120,209,175,285,8,5,7,8,12,15,7,13
1,76,51,1100,1838,2958,5107,8592,264,535,296,392,504,817,54,81,154,288,58,95,138,176,5,6,8,14,18,31,8,11
0,75,10,100,117,226,278,326,175,429,264,277,409,708,24,29,39,55,135,242,114,204,10,10,19,23,32,49,6,10
0,30,59,1100,1614,2265,3796,5361,108,224,148,159,264,469,45,80,84,109,60,120,98,177,7,8,14,17,28,48,12,21
0,75,59,893,1436,1928,2641,3277,97,202,84,153,167,279,36,52,73,105,95,158,198,260,9,8,11,13,17,21,6,9
0,46,10,199,213,410,503,856,243,394,259,308,364,560,56,64,107,164,157,273,176,219,8,8,13,24,31,57,11,21
0,31,60,1100,1385,2100,3911,4603,235,296,36,43,67,124,38,57,109,164,136,259,133,139,6,10,12,18,26,43,5,8
1,51,30,428,500,975,1881,3609,268,558,229,260,411,770,42,73,131,254,59,89,85,109,8,10,11,18,27,40,7,8
1,33,52,1100,2141,3753,6889,10003,238,329,216,397,640,913,24,26,33,43,183,294,70,88,7,10,19,27,50,76,6,8
0,74,10,749,798,1333,1807,2803,299,669,267,433,441,573,26,30,47,61,68,108,42,59,5,5,10,20,33,61,9,16
0,33,60,930,1756,2895,4477,8106,76,194,310,554,640,1153,31,36,68,103,216,355,73,121,7,9,10,13,23,33,7,12
0,37,59,1100,1946,3064,3470,4911,166,313,29,53,56,59,70,116,201,309,165,321,57,74,10,10,16,28,44,56,6,8
1,53,18,1100,2088,3923,6568,12842,266,754,257,432,512,783,58,107,132,214,224,349,101,164,5,8,11,17,25,27,8,11
1,58,21,489,767,941,1311,2294,275,867,230,361,698,1303,33,61,102,181,103,133,111,208,10,6,10,13,20,32,7,12
1,77,48,1100,1334,2162,2432,4841,87,169,330,469,622,699,25,42,76,99,202,368,66,83,5,8,12,13,18,26,6,11
0,80,60,1100,1126,1770,2287,4301,170,326,57,88,167,230,66,81,87,96,126,145,205,231,8,6,7,10,17,33,4,8
1,69,47,1100,1671,1827,2472,3875,217,637,217,332,546,995,54,87,167,269,149,289,171,173,9,10,20,21,23,24,5,7
1,38,38,1100,1256,1290,1485,2803,247,399,171,201,337,375,46,76,77,127,105,181,120,162,5,8,9,16,28,37,4,7
0,50,60,996,1224,2212,3700,5325,129,325,159,314,441,729,35,53,70,111,89,109,57,91,7,10,17,21,38,50,7,9
1,79,37,980,1171,2101,3071,3165,197,420,289,498,889,966,41,78,123,219,158,286,131,223,10,8,14,16,28,36,8,16
0,39,20,1100,1354,1441,2246,3786,284,648,208,362,622,842,54,60,98,182,71,138,193,207,6,5,10,11,20,32,4,8
0,42,10,610,975,1635,1964,2740,246,436,77,107,142,259,26,51,68,122,120,203,173,255,10,7,8,13,25,29,6,9
